s_id	sentence	target_tags	opinion_words_tags
train-15	the mcbook pro notebook will make it easy for you to write and read your emails at blazing speeds .	the\O mcbook\O pro\O notebook\O will\O make\O it\O easy\O for\O you\O to\O write\O and\O read\O your\O emails\O at\O blazing\O speeds\B .\O	the\O mcbook\O pro\O notebook\O will\O make\O it\O easy\B for\O you\O to\O write\O and\O read\O your\O emails\O at\O blazing\B speeds\O .\O
train-16	After having two PC laptops die with in the past 3 years , I was led to the Apple display at Best Buy by the sleek design and promise of less tech issues .	After\O having\O two\O PC\O laptops\O die\O with\O in\O the\O past\O 3\O years\O ,\O I\O was\O led\O to\O the\O Apple\O display\O at\O Best\O Buy\O by\O the\O sleek\O design\B and\O promise\O of\O less\O tech\O issues\O .\O	After\O having\O two\O PC\O laptops\O die\O with\O in\O the\O past\O 3\O years\O ,\O I\O was\O led\O to\O the\O Apple\O display\O at\O Best\O Buy\O by\O the\O sleek\B design\O and\O promise\O of\O less\O tech\O issues\O .\O
train-17	After having two PC laptops die with in the past 3 years , I was led to the Apple display at Best Buy by the sleek design and promise of less tech issues .	After\O having\O two\O PC\O laptops\O die\O with\O in\O the\O past\O 3\O years\O ,\O I\O was\O led\O to\O the\O Apple\O display\O at\O Best\O Buy\O by\O the\O sleek\O design\O and\O promise\O of\O less\O tech\B issues\I .\O	After\O having\O two\O PC\O laptops\O die\O with\O in\O the\O past\O 3\O years\O ,\O I\O was\O led\O to\O the\O Apple\O display\O at\O Best\O Buy\O by\O the\O sleek\O design\O and\O promise\O of\O less\B tech\O issues\O .\O
train-18	Small enough to use on a long flight , Light enough to carry through airports and powerful enough to replace my desktop while on long business trips .	Small\O enough\O to\O use\O on\O a\O long\O flight\O ,\O Light\O enough\O to\O carry\B through\O airports\O and\O powerful\O enough\O to\O replace\O my\O desktop\O while\O on\O long\O business\O trips\O .\O	Small\O enough\O to\O use\O on\O a\O long\O flight\O ,\O Light\B enough\O to\O carry\O through\O airports\O and\O powerful\O enough\O to\O replace\O my\O desktop\O while\O on\O long\O business\O trips\O .\O
train-19	Battery is lasting about 6 hours as I am surfing the web on Sundays while checking football scores and watching funny Youtube videos .	Battery\B is\O lasting\O about\O 6\O hours\O as\O I\O am\O surfing\O the\O web\O on\O Sundays\O while\O checking\O football\O scores\O and\O watching\O funny\O Youtube\O videos\O .\O	Battery\O is\O lasting\B about\O 6\O hours\O as\O I\O am\O surfing\O the\O web\O on\O Sundays\O while\O checking\O football\O scores\O and\O watching\O funny\O Youtube\O videos\O .\O
train-20	I was looking too closely at the other performance specs and while comparing , I took it for granted that these features were standard .	I\O was\O looking\O too\O closely\O at\O the\O other\O performance\O specs\O and\O while\O comparing\O ,\O I\O took\O it\O for\O granted\O that\O these\O features\B were\O standard\O .\O	I\O was\O looking\O too\O closely\O at\O the\O other\O performance\O specs\O and\O while\O comparing\O ,\O I\O took\O it\O for\O granted\O that\O these\O features\O were\O standard\B .\O
train-21	As a user of a PC , I will will admit that the macBook Pro has a better running system in which I found myself `` Getting the job done quicker .	As\O a\O user\O of\O a\O PC\O ,\O I\O will\O will\O admit\O that\O the\O macBook\O Pro\O has\O a\O better\O running\B system\I in\O which\O I\O found\O myself\O ``\O Getting\O the\O job\O done\O quicker\O .\O	As\O a\O user\O of\O a\O PC\O ,\O I\O will\O will\O admit\O that\O the\O macBook\O Pro\O has\O a\O better\B running\O system\O in\O which\O I\O found\O myself\O ``\O Getting\O the\O job\O done\O quicker\O .\O
train-22	I 've been impressed with the battery life and the performance for such a small amount of memory .	I\O 've\O been\O impressed\O with\O the\O battery\B life\I and\O the\O performance\O for\O such\O a\O small\O amount\O of\O memory\O .\O	I\O 've\O been\O impressed\B with\O the\O battery\O life\O and\O the\O performance\O for\O such\O a\O small\O amount\O of\O memory\O .\O
train-23	I 've been impressed with the battery life and the performance for such a small amount of memory .	I\O 've\O been\O impressed\O with\O the\O battery\O life\O and\O the\O performance\B for\O such\O a\O small\O amount\O of\O memory\O .\O	I\O 've\O been\O impressed\O with\O the\O battery\O life\O and\O the\O performance\O for\O such\O a\O small\B amount\O of\O memory\O .\O
train-24	I 've been impressed with the battery life and the performance for such a small amount of memory .	I\O 've\O been\O impressed\O with\O the\O battery\O life\O and\O the\O performance\O for\O such\O a\O small\O amount\O of\O memory\B .\O	I\O 've\O been\O impressed\O with\O the\O battery\O life\O and\O the\O performance\O for\O such\O a\O small\B amount\O of\O memory\O .\O
train-25	Called Acer many times , they want me to pay the shipping to ship it to their repair center - I was very disappointed since it is a brand new computer !	Called\O Acer\O many\O times\O ,\O they\O want\O me\O to\O pay\O the\O shipping\B to\O ship\O it\O to\O their\O repair\O center\O -\O I\O was\O very\O disappointed\O since\O it\O is\O a\O brand\O new\O computer\O !\O	Called\O Acer\O many\O times\O ,\O they\O want\O me\O to\O pay\O the\O shipping\O to\O ship\O it\O to\O their\O repair\O center\O -\O I\O was\O very\O disappointed\B since\O it\O is\O a\O brand\O new\O computer\O !\O
train-26	Called Acer many times , they want me to pay the shipping to ship it to their repair center - I was very disappointed since it is a brand new computer !	Called\O Acer\O many\O times\O ,\O they\O want\O me\O to\O pay\O the\O shipping\O to\O ship\O it\O to\O their\O repair\B center\I -\O I\O was\O very\O disappointed\O since\O it\O is\O a\O brand\O new\O computer\O !\O	Called\O Acer\O many\O times\O ,\O they\O want\O me\O to\O pay\O the\O shipping\O to\O ship\O it\O to\O their\O repair\O center\O -\O I\O was\O very\O disappointed\B since\O it\O is\O a\O brand\O new\O computer\O !\O
train-27	I can have both OSX and Windows XP running at the same time !	I\O can\O have\O both\O OSX\B and\O Windows\O XP\O running\O at\O the\O same\O time\O !\O	I\O can\O have\O both\B OSX\O and\O Windows\O XP\O running\O at\O the\O same\O time\O !\O
train-28	I can have both OSX and Windows XP running at the same time !	I\O can\O have\O both\O OSX\O and\O Windows\B XP\I running\O at\O the\O same\O time\O !\O	I\O can\O have\O both\B OSX\O and\O Windows\O XP\O running\O at\O the\O same\O time\O !\O
train-29	( I found a 2GB stick for a bit under $ 50 ) Nice and portable and definitely a decent enough system to keep you entertained while sitting in the airplane for a couple of hours , or at the hotel taking care of some last minute details and documents .	(\O I\O found\O a\O 2GB\O stick\O for\O a\O bit\O under\O $\O 50\O )\O Nice\O and\O portable\O and\O definitely\O a\O decent\O enough\O system\B to\O keep\O you\O entertained\O while\O sitting\O in\O the\O airplane\O for\O a\O couple\O of\O hours\O ,\O or\O at\O the\O hotel\O taking\O care\O of\O some\O last\O minute\O details\O and\O documents\O .\O	(\O I\O found\O a\O 2GB\O stick\O for\O a\O bit\O under\O $\O 50\O )\O Nice\B and\O portable\B and\O definitely\O a\O decent\B enough\O system\O to\O keep\O you\O entertained\O while\O sitting\O in\O the\O airplane\O for\O a\O couple\O of\O hours\O ,\O or\O at\O the\O hotel\O taking\O care\O of\O some\O last\O minute\O details\O and\O documents\O .\O
train-30	We have had numerous problems with Vista , such as Adobe Flash player just quits and has to be uninstalled and then reinsalled , Internet Explore just quits and you lose whatever you were working on , also , the same Windows update has appeared on this computer since we got it and has been updated probably 400 times , the same update .	We\O have\O had\O numerous\O problems\O with\O Vista\B ,\O such\O as\O Adobe\O Flash\O player\O just\O quits\O and\O has\O to\O be\O uninstalled\O and\O then\O reinsalled\O ,\O Internet\O Explore\O just\O quits\O and\O you\O lose\O whatever\O you\O were\O working\O on\O ,\O also\O ,\O the\O same\O Windows\O update\O has\O appeared\O on\O this\O computer\O since\O we\O got\O it\O and\O has\O been\O updated\O probably\O 400\O times\O ,\O the\O same\O update\O .\O	We\O have\O had\O numerous\O problems\B with\O Vista\O ,\O such\O as\O Adobe\O Flash\O player\O just\O quits\O and\O has\O to\O be\O uninstalled\O and\O then\O reinsalled\O ,\O Internet\O Explore\O just\O quits\O and\O you\O lose\O whatever\O you\O were\O working\O on\O ,\O also\O ,\O the\O same\O Windows\O update\O has\O appeared\O on\O this\O computer\O since\O we\O got\O it\O and\O has\O been\O updated\O probably\O 400\O times\O ,\O the\O same\O update\O .\O
train-31	We have had numerous problems with Vista , such as Adobe Flash player just quits and has to be uninstalled and then reinsalled , Internet Explore just quits and you lose whatever you were working on , also , the same Windows update has appeared on this computer since we got it and has been updated probably 400 times , the same update .	We\O have\O had\O numerous\O problems\O with\O Vista\O ,\O such\O as\O Adobe\B Flash\I player\I just\O quits\O and\O has\O to\O be\O uninstalled\O and\O then\O reinsalled\O ,\O Internet\O Explore\O just\O quits\O and\O you\O lose\O whatever\O you\O were\O working\O on\O ,\O also\O ,\O the\O same\O Windows\O update\O has\O appeared\O on\O this\O computer\O since\O we\O got\O it\O and\O has\O been\O updated\O probably\O 400\O times\O ,\O the\O same\O update\O .\O	We\O have\O had\O numerous\O problems\B with\O Vista\O ,\O such\O as\O Adobe\O Flash\O player\O just\O quits\O and\O has\O to\O be\O uninstalled\O and\O then\O reinsalled\O ,\O Internet\O Explore\O just\O quits\O and\O you\O lose\O whatever\O you\O were\O working\O on\O ,\O also\O ,\O the\O same\O Windows\O update\O has\O appeared\O on\O this\O computer\O since\O we\O got\O it\O and\O has\O been\O updated\O probably\O 400\O times\O ,\O the\O same\O update\O .\O
train-32	We have had numerous problems with Vista , such as Adobe Flash player just quits and has to be uninstalled and then reinsalled , Internet Explore just quits and you lose whatever you were working on , also , the same Windows update has appeared on this computer since we got it and has been updated probably 400 times , the same update .	We\O have\O had\O numerous\O problems\O with\O Vista\O ,\O such\O as\O Adobe\O Flash\O player\O just\O quits\O and\O has\O to\O be\O uninstalled\O and\O then\O reinsalled\O ,\O Internet\B Explore\I just\O quits\O and\O you\O lose\O whatever\O you\O were\O working\O on\O ,\O also\O ,\O the\O same\O Windows\O update\O has\O appeared\O on\O this\O computer\O since\O we\O got\O it\O and\O has\O been\O updated\O probably\O 400\O times\O ,\O the\O same\O update\O .\O	We\O have\O had\O numerous\O problems\B with\O Vista\O ,\O such\O as\O Adobe\O Flash\O player\O just\O quits\O and\O has\O to\O be\O uninstalled\O and\O then\O reinsalled\O ,\O Internet\O Explore\O just\O quits\O and\O you\O lose\O whatever\O you\O were\O working\O on\O ,\O also\O ,\O the\O same\O Windows\O update\O has\O appeared\O on\O this\O computer\O since\O we\O got\O it\O and\O has\O been\O updated\O probably\O 400\O times\O ,\O the\O same\O update\O .\O
train-33	We have had numerous problems with Vista , such as Adobe Flash player just quits and has to be uninstalled and then reinsalled , Internet Explore just quits and you lose whatever you were working on , also , the same Windows update has appeared on this computer since we got it and has been updated probably 400 times , the same update .	We\O have\O had\O numerous\O problems\O with\O Vista\O ,\O such\O as\O Adobe\O Flash\O player\O just\O quits\O and\O has\O to\O be\O uninstalled\O and\O then\O reinsalled\O ,\O Internet\O Explore\O just\O quits\O and\O you\O lose\O whatever\O you\O were\O working\O on\O ,\O also\O ,\O the\O same\O Windows\B update\I has\O appeared\O on\O this\O computer\O since\O we\O got\O it\O and\O has\O been\O updated\O probably\O 400\O times\O ,\O the\O same\O update\O .\O	We\O have\O had\O numerous\O problems\B with\O Vista\O ,\O such\O as\O Adobe\O Flash\O player\O just\O quits\O and\O has\O to\O be\O uninstalled\O and\O then\O reinsalled\O ,\O Internet\O Explore\O just\O quits\O and\O you\O lose\O whatever\O you\O were\O working\O on\O ,\O also\O ,\O the\O same\O Windows\O update\O has\O appeared\O on\O this\O computer\O since\O we\O got\O it\O and\O has\O been\O updated\O probably\O 400\O times\O ,\O the\O same\O update\O .\O
train-34	We have had numerous problems with Vista , such as Adobe Flash player just quits and has to be uninstalled and then reinsalled , Internet Explore just quits and you lose whatever you were working on , also , the same Windows update has appeared on this computer since we got it and has been updated probably 400 times , the same update .	We\O have\O had\O numerous\O problems\O with\O Vista\O ,\O such\O as\O Adobe\O Flash\O player\O just\O quits\O and\O has\O to\O be\O uninstalled\O and\O then\O reinsalled\O ,\O Internet\O Explore\O just\O quits\O and\O you\O lose\O whatever\O you\O were\O working\O on\O ,\O also\O ,\O the\O same\O Windows\O update\O has\O appeared\O on\O this\O computer\O since\O we\O got\O it\O and\O has\O been\O updated\O probably\O 400\O times\O ,\O the\O same\O update\B .\O	We\O have\O had\O numerous\O problems\B with\O Vista\O ,\O such\O as\O Adobe\O Flash\O player\O just\O quits\O and\O has\O to\O be\O uninstalled\O and\O then\O reinsalled\O ,\O Internet\O Explore\O just\O quits\O and\O you\O lose\O whatever\O you\O were\O working\O on\O ,\O also\O ,\O the\O same\O Windows\O update\O has\O appeared\O on\O this\O computer\O since\O we\O got\O it\O and\O has\O been\O updated\O probably\O 400\O times\O ,\O the\O same\O update\O .\O
train-35	The rep did not even answer my question , I had to ask him , if he understood what I ask or if he spoke english because he did n't even try to acknowledge my question .	The\O rep\B did\O not\O even\O answer\O my\O question\O ,\O I\O had\O to\O ask\O him\O ,\O if\O he\O understood\O what\O I\O ask\O or\O if\O he\O spoke\O english\O because\O he\O did\O n't\O even\O try\O to\O acknowledge\O my\O question\O .\O	The\O rep\O did\B not\I even\O answer\O my\O question\O ,\O I\O had\O to\O ask\O him\O ,\O if\O he\O understood\O what\O I\O ask\O or\O if\O he\O spoke\O english\O because\O he\O did\O n't\O even\O try\O to\O acknowledge\O my\O question\O .\O
train-36	Speakers too small to be of any real use .	Speakers\B too\O small\O to\O be\O of\O any\O real\O use\O .\O	Speakers\O too\B small\I to\O be\O of\O any\O real\O use\O .\O
train-37	Now the screen is going darker , darker , darker .	Now\O the\O screen\B is\O going\O darker\O ,\O darker\O ,\O darker\O .\O	Now\O the\O screen\O is\O going\O darker\B ,\O darker\O ,\O darker\O .\O
train-38	It is everything I 'd hoped it would be from a look and feel standpoint , but somehow a bit more sturdy .	It\O is\O everything\O I\O 'd\O hoped\O it\O would\O be\O from\O a\O look\B and\I feel\I standpoint\I ,\O but\O somehow\O a\O bit\O more\O sturdy\O .\O	It\O is\O everything\O I\O 'd\O hoped\O it\O would\O be\O from\O a\O look\O and\O feel\O standpoint\O ,\O but\O somehow\O a\O bit\O more\O sturdy\B .\O
train-39	I am overall very pleased with my toshiba satellite , I like the extra features , I love the windows 7 home premium .	I\O am\O overall\O very\O pleased\O with\O my\O toshiba\O satellite\O ,\O I\O like\O the\O extra\B features\I ,\O I\O love\O the\O windows\O 7\O home\O premium\O .\O	I\O am\O overall\O very\O pleased\O with\O my\O toshiba\O satellite\O ,\O I\O like\B the\O extra\O features\O ,\O I\O love\O the\O windows\O 7\O home\O premium\O .\O
train-40	I am overall very pleased with my toshiba satellite , I like the extra features , I love the windows 7 home premium .	I\O am\O overall\O very\O pleased\O with\O my\O toshiba\O satellite\O ,\O I\O like\O the\O extra\O features\O ,\O I\O love\O the\O windows\B 7\I home\I premium\I .\O	I\O am\O overall\O very\O pleased\O with\O my\O toshiba\O satellite\O ,\O I\O like\O the\O extra\O features\O ,\O I\O love\B the\O windows\O 7\O home\O premium\O .\O
train-41	Even doing so , the hinge may just be slightly tightened only .	Even\O doing\O so\O ,\O the\O hinge\B may\O just\O be\O slightly\O tightened\O only\O .\O	Even\O doing\O so\O ,\O the\O hinge\O may\O just\O be\O slightly\O tightened\B only\O .\O
train-42	The price was very good , and the product is top quality .	The\O price\B was\O very\O good\O ,\O and\O the\O product\O is\O top\O quality\O .\O	The\O price\O was\O very\O good\B ,\O and\O the\O product\O is\O top\O quality\O .\O
train-43	The price was very good , and the product is top quality .	The\O price\O was\O very\O good\O ,\O and\O the\O product\O is\O top\O quality\B .\O	The\O price\O was\O very\O good\O ,\O and\O the\O product\O is\O top\B quality\O .\O
train-44	the speed is fine .	the\O speed\B is\O fine\O .\O	the\O speed\O is\O fine\B .\O
train-45	Well , I have to say since I bought my Mac , I wo n't ever go back to any Windows .	Well\O ,\O I\O have\O to\O say\O since\O I\O bought\O my\O Mac\O ,\O I\O wo\O n't\O ever\O go\O back\O to\O any\O Windows\B .\O	Well\O ,\O I\O have\O to\O say\O since\O I\O bought\O my\O Mac\O ,\O I\O wo\B n't\I ever\I go\I back\I to\O any\O Windows\O .\O
train-46	the graphics are awful and the wireless switch it at the top rather than the side which I am used to it being on the side .	the\O graphics\B are\O awful\O and\O the\O wireless\O switch\O it\O at\O the\O top\O rather\O than\O the\O side\O which\O I\O am\O used\O to\O it\O being\O on\O the\O side\O .\O	the\O graphics\O are\O awful\B and\O the\O wireless\O switch\O it\O at\O the\O top\O rather\O than\O the\O side\O which\O I\O am\O used\O to\O it\O being\O on\O the\O side\O .\O
train-47	If you check you will find the same notebook with the above missing ports and a dual core AMD or Intel processor .	If\O you\O check\O you\O will\O find\O the\O same\O notebook\O with\O the\O above\O missing\O ports\B and\O a\O dual\O core\O AMD\O or\O Intel\O processor\O .\O	If\O you\O check\O you\O will\O find\O the\O same\O notebook\O with\O the\O above\O missing\B ports\O and\O a\O dual\O core\O AMD\O or\O Intel\O processor\O .\O
train-48	I 'have had it for about a 1 1/2 and yes I have had an issue with it one month out of warranty .	I\O 'have\O had\O it\O for\O about\O a\O 1\O 1/2\O and\O yes\O I\O have\O had\O an\O issue\O with\O it\O one\O month\O out\O of\O warranty\B .\O	I\O 'have\O had\O it\O for\O about\O a\O 1\O 1/2\O and\O yes\O I\O have\O had\O an\O issue\O with\O it\O one\O month\O out\B of\I warranty\O .\O
train-49	The only thing I would change about it is the mouse keys .	The\O only\O thing\O I\O would\O change\O about\O it\O is\O the\O mouse\B keys\I .\O	The\O only\O thing\O I\O would\O change\B about\O it\O is\O the\O mouse\O keys\O .\O
train-50	Again , decent comp for the price , and I was in need of one quickly as my other laptop died on me .	Again\O ,\O decent\O comp\O for\O the\O price\B ,\O and\O I\O was\O in\O need\O of\O one\O quickly\O as\O my\O other\O laptop\O died\O on\O me\O .\O	Again\O ,\O decent\B comp\O for\O the\O price\O ,\O and\O I\O was\O in\O need\O of\O one\O quickly\O as\O my\O other\O laptop\O died\O on\O me\O .\O
train-51	It works great for general internet use , Microsoft Office apps , home bookkeeping , etc .	It\O works\O great\O for\O general\O internet\O use\O ,\O Microsoft\B Office\I apps\I ,\O home\O bookkeeping\O ,\O etc\O .\O	It\O works\O great\B for\O general\O internet\O use\O ,\O Microsoft\O Office\O apps\O ,\O home\O bookkeeping\O ,\O etc\O .\O
train-52	It works great for general internet use , Microsoft Office apps , home bookkeeping , etc .	It\O works\O great\O for\O general\O internet\B use\I ,\O Microsoft\O Office\O apps\O ,\O home\O bookkeeping\O ,\O etc\O .\O	It\O works\O great\B for\O general\O internet\O use\O ,\O Microsoft\O Office\O apps\O ,\O home\O bookkeeping\O ,\O etc\O .\O
train-53	Other than that its a great performing machine and well meets all my needs and more .	Other\O than\O that\O its\O a\O great\O performing\B machine\O and\O well\O meets\O all\O my\O needs\O and\O more\O .\O	Other\O than\O that\O its\O a\O great\B performing\O machine\O and\O well\O meets\O all\O my\O needs\O and\O more\O .\O
train-54	The 4 USB ports are nice , but the two on the side only work now and then .	The\O 4\O USB\B ports\I are\O nice\O ,\O but\O the\O two\O on\O the\O side\O only\O work\O now\O and\O then\O .\O	The\O 4\O USB\O ports\O are\O nice\B ,\O but\O the\O two\O on\O the\O side\O only\O work\O now\O and\O then\O .\O
train-55	The computer runs very fast with no problems and the iLife software that comes with it ( iPhoto , iMovie , iWeb , iTunes , GarageBand ) is all very helpful as well .	The\O computer\O runs\O very\O fast\O with\O no\O problems\O and\O the\O iLife\B software\I that\O comes\O with\O it\O (\O iPhoto\O ,\O iMovie\O ,\O iWeb\O ,\O iTunes\O ,\O GarageBand\O )\O is\O all\O very\O helpful\O as\O well\O .\O	The\O computer\O runs\O very\O fast\O with\O no\O problems\O and\O the\O iLife\O software\O that\O comes\O with\O it\O (\O iPhoto\O ,\O iMovie\O ,\O iWeb\O ,\O iTunes\O ,\O GarageBand\O )\O is\O all\O very\O helpful\B as\O well\O .\O
train-56	The computer runs very fast with no problems and the iLife software that comes with it ( iPhoto , iMovie , iWeb , iTunes , GarageBand ) is all very helpful as well .	The\O computer\O runs\O very\O fast\O with\O no\O problems\O and\O the\O iLife\O software\O that\O comes\O with\O it\O (\O iPhoto\B ,\O iMovie\O ,\O iWeb\O ,\O iTunes\O ,\O GarageBand\O )\O is\O all\O very\O helpful\O as\O well\O .\O	The\O computer\O runs\O very\O fast\O with\O no\O problems\O and\O the\O iLife\O software\O that\O comes\O with\O it\O (\O iPhoto\O ,\O iMovie\O ,\O iWeb\O ,\O iTunes\O ,\O GarageBand\O )\O is\O all\O very\O helpful\B as\O well\O .\O
train-57	The computer runs very fast with no problems and the iLife software that comes with it ( iPhoto , iMovie , iWeb , iTunes , GarageBand ) is all very helpful as well .	The\O computer\O runs\O very\O fast\O with\O no\O problems\O and\O the\O iLife\O software\O that\O comes\O with\O it\O (\O iPhoto\O ,\O iMovie\B ,\O iWeb\O ,\O iTunes\O ,\O GarageBand\O )\O is\O all\O very\O helpful\O as\O well\O .\O	The\O computer\O runs\O very\O fast\O with\O no\O problems\O and\O the\O iLife\O software\O that\O comes\O with\O it\O (\O iPhoto\O ,\O iMovie\O ,\O iWeb\O ,\O iTunes\O ,\O GarageBand\O )\O is\O all\O very\O helpful\B as\O well\O .\O
train-58	The computer runs very fast with no problems and the iLife software that comes with it ( iPhoto , iMovie , iWeb , iTunes , GarageBand ) is all very helpful as well .	The\O computer\O runs\O very\O fast\O with\O no\O problems\O and\O the\O iLife\O software\O that\O comes\O with\O it\O (\O iPhoto\O ,\O iMovie\O ,\O iWeb\B ,\O iTunes\O ,\O GarageBand\O )\O is\O all\O very\O helpful\O as\O well\O .\O	The\O computer\O runs\O very\O fast\O with\O no\O problems\O and\O the\O iLife\O software\O that\O comes\O with\O it\O (\O iPhoto\O ,\O iMovie\O ,\O iWeb\O ,\O iTunes\O ,\O GarageBand\O )\O is\O all\O very\O helpful\B as\O well\O .\O
train-59	The computer runs very fast with no problems and the iLife software that comes with it ( iPhoto , iMovie , iWeb , iTunes , GarageBand ) is all very helpful as well .	The\O computer\O runs\O very\O fast\O with\O no\O problems\O and\O the\O iLife\O software\O that\O comes\O with\O it\O (\O iPhoto\O ,\O iMovie\O ,\O iWeb\O ,\O iTunes\B ,\O GarageBand\O )\O is\O all\O very\O helpful\O as\O well\O .\O	The\O computer\O runs\O very\O fast\O with\O no\O problems\O and\O the\O iLife\O software\O that\O comes\O with\O it\O (\O iPhoto\O ,\O iMovie\O ,\O iWeb\O ,\O iTunes\O ,\O GarageBand\O )\O is\O all\O very\O helpful\B as\O well\O .\O
train-60	The computer runs very fast with no problems and the iLife software that comes with it ( iPhoto , iMovie , iWeb , iTunes , GarageBand ) is all very helpful as well .	The\O computer\O runs\O very\O fast\O with\O no\O problems\O and\O the\O iLife\O software\O that\O comes\O with\O it\O (\O iPhoto\O ,\O iMovie\O ,\O iWeb\O ,\O iTunes\O ,\O GarageBand\B )\O is\O all\O very\O helpful\O as\O well\O .\O	The\O computer\O runs\O very\O fast\O with\O no\O problems\O and\O the\O iLife\O software\O that\O comes\O with\O it\O (\O iPhoto\O ,\O iMovie\O ,\O iWeb\O ,\O iTunes\O ,\O GarageBand\O )\O is\O all\O very\O helpful\B as\O well\O .\O
train-61	The computer runs very fast with no problems and the iLife software that comes with it ( iPhoto , iMovie , iWeb , iTunes , GarageBand ) is all very helpful as well .	The\O computer\O runs\B very\O fast\O with\O no\O problems\O and\O the\O iLife\O software\O that\O comes\O with\O it\O (\O iPhoto\O ,\O iMovie\O ,\O iWeb\O ,\O iTunes\O ,\O GarageBand\O )\O is\O all\O very\O helpful\O as\O well\O .\O	The\O computer\O runs\O very\O fast\B with\O no\O problems\O and\O the\O iLife\O software\O that\O comes\O with\O it\O (\O iPhoto\O ,\O iMovie\O ,\O iWeb\O ,\O iTunes\O ,\O GarageBand\O )\O is\O all\O very\O helpful\O as\O well\O .\O
